signature_id,pattern_name,description,severity,detection_rule,false_positive_rate,created_date,last_triggered,trigger_count_30d,embedding_text
SIG-0104,credential_stuffing,Same IP attempts login on 10+ accounts within 1 hour,critical,WHEN credential_stuffing THEN flag(severity='critical'),0.149,2025-04-11,2026-02-15 04:42:00,171,credential_stuffing: Same IP attempts login on 10+ accounts within 1 hour. Severity: critical. Common in online banking fraud.
SIG-0105,card_testing,Multiple small transactions (<$1) in rapid succession,medium,WHEN card_testing THEN flag(severity='medium'),0.021,2026-01-24,2026-02-22 22:42:00,37,card_testing: Multiple small transactions (<$1) in rapid succession. Severity: medium. Common in wire transfers fraud.
SIG-0106,rapid_geo_hop,User location changes >500 miles within 10 minutes,high,WHEN rapid_geo_hop THEN flag(severity='high'),0.129,2025-06-21,2026-02-18 14:42:00,383,rapid_geo_hop: User location changes >500 miles within 10 minutes. Severity: high. Common in P2P payments fraud.
SIG-0107,velocity_spike,Transaction frequency exceeds 5x normal rate in 1 hour,high,WHEN velocity_spike THEN flag(severity='high'),0.15,2025-05-29,2026-02-26 16:42:00,472,velocity_spike: Transaction frequency exceeds 5x normal rate in 1 hour. Severity: high. Common in wire transfers fraud.
SIG-0108,mfa_then_wire,MFA settings changed followed by wire transfer within 24h,critical,WHEN mfa_then_wire THEN flag(severity='critical'),0.146,2025-12-20,2026-03-01 19:42:00,182,mfa_then_wire: MFA settings changed followed by wire transfer within 24h. Severity: critical. Common in P2P payments fraud.
SIG-0109,new_device_large_tx,Large transaction from never-seen-before device,medium,WHEN new_device_large_tx THEN flag(severity='medium'),0.103,2025-10-17,2026-02-23 00:42:00,270,new_device_large_tx: Large transaction from never-seen-before device. Severity: medium. Common in P2P payments fraud.
SIG-0110,midnight_atm,ATM withdrawal between 1-4 AM in foreign country,high,WHEN midnight_atm THEN flag(severity='high'),0.102,2025-08-15,2026-03-02 05:42:00,158,midnight_atm: ATM withdrawal between 1-4 AM in foreign country. Severity: high. Common in P2P payments fraud.
SIG-0111,round_amount_wire,Wire transfer of exact round amount >$10k to new recipient,high,WHEN round_amount_wire THEN flag(severity='high'),0.046,2025-07-02,2026-02-05 05:42:00,12,round_amount_wire: Wire transfer of exact round amount >$10k to new recipient. Severity: high. Common in online banking fraud.
SIG-0112,bot_typing,Typing cadence <50ms average suggesting automated input,critical,WHEN bot_typing THEN flag(severity='critical'),0.068,2025-12-18,2026-02-19 07:42:00,418,bot_typing: Typing cadence <50ms average suggesting automated input. Severity: critical. Common in online banking fraud.
SIG-0113,multiple_failed_mfa,3+ failed MFA attempts followed by successful login,high,WHEN multiple_failed_mfa THEN flag(severity='high'),0.024,2025-09-11,2026-02-24 04:42:00,463,multiple_failed_mfa: 3+ failed MFA attempts followed by successful login. Severity: high. Common in online banking fraud.
SIG-0114,ip_tor_exit,Login from known Tor exit node IP range,critical,WHEN ip_tor_exit THEN flag(severity='critical'),0.148,2025-05-05,2026-02-04 04:42:00,500,ip_tor_exit: Login from known Tor exit node IP range. Severity: critical. Common in wire transfers fraud.
SIG-0115,account_drain,Multiple transactions draining >80% of account balance in 1h,critical,WHEN account_drain THEN flag(severity='critical'),0.103,2025-06-13,2026-02-22 15:42:00,157,account_drain: Multiple transactions draining >80% of account balance in 1h. Severity: critical. Common in online banking fraud.
SIG-0116,sim_swap_pattern,MFA method changed to SMS after phone number update,high,WHEN sim_swap_pattern THEN flag(severity='high'),0.144,2026-02-05,2026-02-21 19:42:00,5,sim_swap_pattern: MFA method changed to SMS after phone number update. Severity: high. Common in wire transfers fraud.
SIG-0117,cross_channel_rapid,Mobile login + web wire transfer within 5 minutes,high,WHEN cross_channel_rapid THEN flag(severity='high'),0.073,2025-12-23,2026-03-02 05:42:00,221,cross_channel_rapid: Mobile login + web wire transfer within 5 minutes. Severity: high. Common in mobile banking fraud.
SIG-0118,dormant_reactivation,Account dormant >90 days suddenly initiates wire transfer,medium,WHEN dormant_reactivation THEN flag(severity='medium'),0.12,2025-09-13,2026-03-04 18:42:00,274,dormant_reactivation: Account dormant >90 days suddenly initiates wire transfer. Severity: medium. Common in online banking fraud.
SIG-0119,credential_stuffing,Same IP attempts login on 10+ accounts within 1 hour,critical,WHEN credential_stuffing THEN flag(severity='critical'),0.141,2026-02-07,2026-02-12 11:42:00,200,credential_stuffing: Same IP attempts login on 10+ accounts within 1 hour. Severity: critical. Common in mobile banking fraud.
SIG-0120,card_testing,Multiple small transactions (<$1) in rapid succession,medium,WHEN card_testing THEN flag(severity='medium'),0.135,2025-07-11,2026-02-17 17:42:00,149,card_testing: Multiple small transactions (<$1) in rapid succession. Severity: medium. Common in wire transfers fraud.
SIG-0121,rapid_geo_hop,User location changes >500 miles within 10 minutes,high,WHEN rapid_geo_hop THEN flag(severity='high'),0.051,2025-05-23,2026-02-15 01:42:00,348,rapid_geo_hop: User location changes >500 miles within 10 minutes. Severity: high. Common in online banking fraud.
SIG-0122,velocity_spike,Transaction frequency exceeds 5x normal rate in 1 hour,high,WHEN velocity_spike THEN flag(severity='high'),0.012,2025-06-18,2026-03-05 05:42:00,394,velocity_spike: Transaction frequency exceeds 5x normal rate in 1 hour. Severity: high. Common in P2P payments fraud.
SIG-0123,mfa_then_wire,MFA settings changed followed by wire transfer within 24h,critical,WHEN mfa_then_wire THEN flag(severity='critical'),0.059,2025-07-14,2026-02-12 05:42:00,311,mfa_then_wire: MFA settings changed followed by wire transfer within 24h. Severity: critical. Common in P2P payments fraud.
SIG-0124,new_device_large_tx,Large transaction from never-seen-before device,medium,WHEN new_device_large_tx THEN flag(severity='medium'),0.11,2025-07-07,2026-02-10 09:42:00,103,new_device_large_tx: Large transaction from never-seen-before device. Severity: medium. Common in wire transfers fraud.
SIG-0125,midnight_atm,ATM withdrawal between 1-4 AM in foreign country,high,WHEN midnight_atm THEN flag(severity='high'),0.017,2025-03-10,2026-02-09 08:42:00,273,midnight_atm: ATM withdrawal between 1-4 AM in foreign country. Severity: high. Common in P2P payments fraud.
SIG-0126,round_amount_wire,Wire transfer of exact round amount >$10k to new recipient,high,WHEN round_amount_wire THEN flag(severity='high'),0.044,2026-02-22,2026-02-17 07:42:00,383,round_amount_wire: Wire transfer of exact round amount >$10k to new recipient. Severity: high. Common in P2P payments fraud.
SIG-0127,bot_typing,Typing cadence <50ms average suggesting automated input,critical,WHEN bot_typing THEN flag(severity='critical'),0.084,2025-04-22,2026-02-10 01:42:00,269,bot_typing: Typing cadence <50ms average suggesting automated input. Severity: critical. Common in P2P payments fraud.
SIG-0128,multiple_failed_mfa,3+ failed MFA attempts followed by successful login,high,WHEN multiple_failed_mfa THEN flag(severity='high'),0.016,2025-11-17,2026-02-03 18:42:00,357,multiple_failed_mfa: 3+ failed MFA attempts followed by successful login. Severity: high. Common in online banking fraud.
SIG-0129,ip_tor_exit,Login from known Tor exit node IP range,critical,WHEN ip_tor_exit THEN flag(severity='critical'),0.099,2026-02-04,2026-02-22 10:42:00,142,ip_tor_exit: Login from known Tor exit node IP range. Severity: critical. Common in P2P payments fraud.
SIG-0130,account_drain,Multiple transactions draining >80% of account balance in 1h,critical,WHEN account_drain THEN flag(severity='critical'),0.075,2025-09-14,2026-02-22 23:42:00,221,account_drain: Multiple transactions draining >80% of account balance in 1h. Severity: critical. Common in P2P payments fraud.
SIG-0131,sim_swap_pattern,MFA method changed to SMS after phone number update,high,WHEN sim_swap_pattern THEN flag(severity='high'),0.019,2025-09-30,2026-02-10 04:42:00,59,sim_swap_pattern: MFA method changed to SMS after phone number update. Severity: high. Common in P2P payments fraud.
SIG-0132,cross_channel_rapid,Mobile login + web wire transfer within 5 minutes,high,WHEN cross_channel_rapid THEN flag(severity='high'),0.016,2025-06-02,2026-02-09 19:42:00,423,cross_channel_rapid: Mobile login + web wire transfer within 5 minutes. Severity: high. Common in online banking fraud.
SIG-0133,dormant_reactivation,Account dormant >90 days suddenly initiates wire transfer,medium,WHEN dormant_reactivation THEN flag(severity='medium'),0.093,2026-01-28,2026-02-06 03:42:00,381,dormant_reactivation: Account dormant >90 days suddenly initiates wire transfer. Severity: medium. Common in P2P payments fraud.
SIG-0134,credential_stuffing,Same IP attempts login on 10+ accounts within 1 hour,critical,WHEN credential_stuffing THEN flag(severity='critical'),0.078,2025-04-22,2026-02-16 22:42:00,28,credential_stuffing: Same IP attempts login on 10+ accounts within 1 hour. Severity: critical. Common in wire transfers fraud.
SIG-0135,card_testing,Multiple small transactions (<$1) in rapid succession,medium,WHEN card_testing THEN flag(severity='medium'),0.097,2025-09-11,2026-02-26 17:42:00,11,card_testing: Multiple small transactions (<$1) in rapid succession. Severity: medium. Common in P2P payments fraud.
SIG-0136,rapid_geo_hop,User location changes >500 miles within 10 minutes,high,WHEN rapid_geo_hop THEN flag(severity='high'),0.051,2025-08-19,2026-02-23 20:42:00,134,rapid_geo_hop: User location changes >500 miles within 10 minutes. Severity: high. Common in wire transfers fraud.
SIG-0137,velocity_spike,Transaction frequency exceeds 5x normal rate in 1 hour,high,WHEN velocity_spike THEN flag(severity='high'),0.028,2025-08-09,2026-02-08 00:42:00,415,velocity_spike: Transaction frequency exceeds 5x normal rate in 1 hour. Severity: high. Common in mobile banking fraud.
SIG-0138,mfa_then_wire,MFA settings changed followed by wire transfer within 24h,critical,WHEN mfa_then_wire THEN flag(severity='critical'),0.03,2025-12-02,2026-02-24 08:42:00,123,mfa_then_wire: MFA settings changed followed by wire transfer within 24h. Severity: critical. Common in online banking fraud.
SIG-0139,new_device_large_tx,Large transaction from never-seen-before device,medium,WHEN new_device_large_tx THEN flag(severity='medium'),0.023,2025-06-04,2026-02-08 09:42:00,318,new_device_large_tx: Large transaction from never-seen-before device. Severity: medium. Common in mobile banking fraud.
SIG-0140,midnight_atm,ATM withdrawal between 1-4 AM in foreign country,high,WHEN midnight_atm THEN flag(severity='high'),0.068,2025-04-22,2026-02-23 05:42:00,52,midnight_atm: ATM withdrawal between 1-4 AM in foreign country. Severity: high. Common in online banking fraud.
SIG-0141,round_amount_wire,Wire transfer of exact round amount >$10k to new recipient,high,WHEN round_amount_wire THEN flag(severity='high'),0.128,2025-09-29,2026-02-22 23:42:00,414,round_amount_wire: Wire transfer of exact round amount >$10k to new recipient. Severity: high. Common in wire transfers fraud.
SIG-0142,bot_typing,Typing cadence <50ms average suggesting automated input,critical,WHEN bot_typing THEN flag(severity='critical'),0.062,2025-12-24,2026-02-03 14:42:00,68,bot_typing: Typing cadence <50ms average suggesting automated input. Severity: critical. Common in P2P payments fraud.
SIG-0143,multiple_failed_mfa,3+ failed MFA attempts followed by successful login,high,WHEN multiple_failed_mfa THEN flag(severity='high'),0.035,2025-04-29,2026-02-07 13:42:00,405,multiple_failed_mfa: 3+ failed MFA attempts followed by successful login. Severity: high. Common in mobile banking fraud.
SIG-0144,ip_tor_exit,Login from known Tor exit node IP range,critical,WHEN ip_tor_exit THEN flag(severity='critical'),0.02,2025-04-10,2026-02-19 12:42:00,332,ip_tor_exit: Login from known Tor exit node IP range. Severity: critical. Common in mobile banking fraud.
SIG-0145,account_drain,Multiple transactions draining >80% of account balance in 1h,critical,WHEN account_drain THEN flag(severity='critical'),0.105,2026-02-14,2026-02-08 00:42:00,286,account_drain: Multiple transactions draining >80% of account balance in 1h. Severity: critical. Common in mobile banking fraud.
SIG-0146,sim_swap_pattern,MFA method changed to SMS after phone number update,high,WHEN sim_swap_pattern THEN flag(severity='high'),0.033,2025-08-08,2026-02-04 16:42:00,64,sim_swap_pattern: MFA method changed to SMS after phone number update. Severity: high. Common in mobile banking fraud.
SIG-0147,cross_channel_rapid,Mobile login + web wire transfer within 5 minutes,high,WHEN cross_channel_rapid THEN flag(severity='high'),0.093,2025-11-25,2026-02-28 16:42:00,15,cross_channel_rapid: Mobile login + web wire transfer within 5 minutes. Severity: high. Common in P2P payments fraud.
SIG-0148,dormant_reactivation,Account dormant >90 days suddenly initiates wire transfer,medium,WHEN dormant_reactivation THEN flag(severity='medium'),0.074,2025-08-31,2026-02-14 07:42:00,262,dormant_reactivation: Account dormant >90 days suddenly initiates wire transfer. Severity: medium. Common in wire transfers fraud.
SIG-0149,credential_stuffing,Same IP attempts login on 10+ accounts within 1 hour,critical,WHEN credential_stuffing THEN flag(severity='critical'),0.059,2025-06-18,2026-02-23 09:42:00,355,credential_stuffing: Same IP attempts login on 10+ accounts within 1 hour. Severity: critical. Common in wire transfers fraud.
SIG-0150,card_testing,Multiple small transactions (<$1) in rapid succession,medium,WHEN card_testing THEN flag(severity='medium'),0.139,2025-04-15,2026-02-25 06:42:00,289,card_testing: Multiple small transactions (<$1) in rapid succession. Severity: medium. Common in P2P payments fraud.
SIG-0151,rapid_geo_hop,User location changes >500 miles within 10 minutes,high,WHEN rapid_geo_hop THEN flag(severity='high'),0.081,2025-12-06,2026-03-02 00:42:00,289,rapid_geo_hop: User location changes >500 miles within 10 minutes. Severity: high. Common in mobile banking fraud.
SIG-0152,velocity_spike,Transaction frequency exceeds 5x normal rate in 1 hour,high,WHEN velocity_spike THEN flag(severity='high'),0.063,2026-01-24,2026-02-07 07:42:00,83,velocity_spike: Transaction frequency exceeds 5x normal rate in 1 hour. Severity: high. Common in online banking fraud.
SIG-0153,mfa_then_wire,MFA settings changed followed by wire transfer within 24h,critical,WHEN mfa_then_wire THEN flag(severity='critical'),0.032,2025-05-27,2026-03-03 14:42:00,133,mfa_then_wire: MFA settings changed followed by wire transfer within 24h. Severity: critical. Common in P2P payments fraud.
SIG-0154,new_device_large_tx,Large transaction from never-seen-before device,medium,WHEN new_device_large_tx THEN flag(severity='medium'),0.105,2025-06-12,2026-03-01 11:42:00,301,new_device_large_tx: Large transaction from never-seen-before device. Severity: medium. Common in mobile banking fraud.
SIG-0155,midnight_atm,ATM withdrawal between 1-4 AM in foreign country,high,WHEN midnight_atm THEN flag(severity='high'),0.102,2025-07-21,2026-02-06 01:42:00,31,midnight_atm: ATM withdrawal between 1-4 AM in foreign country. Severity: high. Common in online banking fraud.
SIG-0156,round_amount_wire,Wire transfer of exact round amount >$10k to new recipient,high,WHEN round_amount_wire THEN flag(severity='high'),0.103,2026-01-25,2026-02-18 17:42:00,168,round_amount_wire: Wire transfer of exact round amount >$10k to new recipient. Severity: high. Common in P2P payments fraud.
SIG-0157,bot_typing,Typing cadence <50ms average suggesting automated input,critical,WHEN bot_typing THEN flag(severity='critical'),0.049,2025-06-25,2026-02-11 13:42:00,41,bot_typing: Typing cadence <50ms average suggesting automated input. Severity: critical. Common in P2P payments fraud.
SIG-0158,multiple_failed_mfa,3+ failed MFA attempts followed by successful login,high,WHEN multiple_failed_mfa THEN flag(severity='high'),0.119,2025-08-19,2026-02-25 19:42:00,358,multiple_failed_mfa: 3+ failed MFA attempts followed by successful login. Severity: high. Common in P2P payments fraud.
SIG-0159,ip_tor_exit,Login from known Tor exit node IP range,critical,WHEN ip_tor_exit THEN flag(severity='critical'),0.146,2025-09-27,2026-02-15 10:42:00,219,ip_tor_exit: Login from known Tor exit node IP range. Severity: critical. Common in online banking fraud.
SIG-0160,account_drain,Multiple transactions draining >80% of account balance in 1h,critical,WHEN account_drain THEN flag(severity='critical'),0.095,2025-11-12,2026-02-20 12:42:00,467,account_drain: Multiple transactions draining >80% of account balance in 1h. Severity: critical. Common in online banking fraud.
SIG-0161,sim_swap_pattern,MFA method changed to SMS after phone number update,high,WHEN sim_swap_pattern THEN flag(severity='high'),0.066,2025-05-21,2026-02-21 08:42:00,107,sim_swap_pattern: MFA method changed to SMS after phone number update. Severity: high. Common in P2P payments fraud.
SIG-0162,cross_channel_rapid,Mobile login + web wire transfer within 5 minutes,high,WHEN cross_channel_rapid THEN flag(severity='high'),0.062,2026-01-20,2026-02-17 03:42:00,361,cross_channel_rapid: Mobile login + web wire transfer within 5 minutes. Severity: high. Common in wire transfers fraud.
SIG-0163,dormant_reactivation,Account dormant >90 days suddenly initiates wire transfer,medium,WHEN dormant_reactivation THEN flag(severity='medium'),0.093,2025-04-16,2026-02-16 19:42:00,116,dormant_reactivation: Account dormant >90 days suddenly initiates wire transfer. Severity: medium. Common in online banking fraud.
SIG-0164,credential_stuffing,Same IP attempts login on 10+ accounts within 1 hour,critical,WHEN credential_stuffing THEN flag(severity='critical'),0.054,2025-04-05,2026-02-05 22:42:00,134,credential_stuffing: Same IP attempts login on 10+ accounts within 1 hour. Severity: critical. Common in wire transfers fraud.
SIG-0165,card_testing,Multiple small transactions (<$1) in rapid succession,medium,WHEN card_testing THEN flag(severity='medium'),0.131,2025-10-05,2026-03-02 16:42:00,302,card_testing: Multiple small transactions (<$1) in rapid succession. Severity: medium. Common in mobile banking fraud.
SIG-0166,rapid_geo_hop,User location changes >500 miles within 10 minutes,high,WHEN rapid_geo_hop THEN flag(severity='high'),0.061,2025-05-07,2026-03-03 11:42:00,116,rapid_geo_hop: User location changes >500 miles within 10 minutes. Severity: high. Common in online banking fraud.
SIG-0167,velocity_spike,Transaction frequency exceeds 5x normal rate in 1 hour,high,WHEN velocity_spike THEN flag(severity='high'),0.012,2025-05-30,2026-02-16 13:42:00,187,velocity_spike: Transaction frequency exceeds 5x normal rate in 1 hour. Severity: high. Common in mobile banking fraud.
SIG-0168,mfa_then_wire,MFA settings changed followed by wire transfer within 24h,critical,WHEN mfa_then_wire THEN flag(severity='critical'),0.095,2025-09-11,2026-03-02 04:42:00,244,mfa_then_wire: MFA settings changed followed by wire transfer within 24h. Severity: critical. Common in wire transfers fraud.
SIG-0169,new_device_large_tx,Large transaction from never-seen-before device,medium,WHEN new_device_large_tx THEN flag(severity='medium'),0.025,2025-11-01,2026-02-23 15:42:00,340,new_device_large_tx: Large transaction from never-seen-before device. Severity: medium. Common in online banking fraud.
SIG-0170,midnight_atm,ATM withdrawal between 1-4 AM in foreign country,high,WHEN midnight_atm THEN flag(severity='high'),0.129,2025-09-07,2026-02-07 02:42:00,236,midnight_atm: ATM withdrawal between 1-4 AM in foreign country. Severity: high. Common in mobile banking fraud.
SIG-0171,round_amount_wire,Wire transfer of exact round amount >$10k to new recipient,high,WHEN round_amount_wire THEN flag(severity='high'),0.134,2025-11-05,2026-02-22 21:42:00,456,round_amount_wire: Wire transfer of exact round amount >$10k to new recipient. Severity: high. Common in wire transfers fraud.
SIG-0172,bot_typing,Typing cadence <50ms average suggesting automated input,critical,WHEN bot_typing THEN flag(severity='critical'),0.143,2025-05-09,2026-02-23 05:42:00,106,bot_typing: Typing cadence <50ms average suggesting automated input. Severity: critical. Common in wire transfers fraud.
SIG-0173,multiple_failed_mfa,3+ failed MFA attempts followed by successful login,high,WHEN multiple_failed_mfa THEN flag(severity='high'),0.088,2025-09-04,2026-03-01 18:42:00,387,multiple_failed_mfa: 3+ failed MFA attempts followed by successful login. Severity: high. Common in mobile banking fraud.
SIG-0174,ip_tor_exit,Login from known Tor exit node IP range,critical,WHEN ip_tor_exit THEN flag(severity='critical'),0.091,2025-03-07,2026-02-04 23:42:00,444,ip_tor_exit: Login from known Tor exit node IP range. Severity: critical. Common in online banking fraud.
SIG-0175,account_drain,Multiple transactions draining >80% of account balance in 1h,critical,WHEN account_drain THEN flag(severity='critical'),0.142,2025-09-22,2026-02-26 04:42:00,21,account_drain: Multiple transactions draining >80% of account balance in 1h. Severity: critical. Common in online banking fraud.
SIG-0176,sim_swap_pattern,MFA method changed to SMS after phone number update,high,WHEN sim_swap_pattern THEN flag(severity='high'),0.061,2025-09-23,2026-03-01 20:42:00,469,sim_swap_pattern: MFA method changed to SMS after phone number update. Severity: high. Common in mobile banking fraud.
SIG-0177,cross_channel_rapid,Mobile login + web wire transfer within 5 minutes,high,WHEN cross_channel_rapid THEN flag(severity='high'),0.072,2025-05-15,2026-02-12 12:42:00,305,cross_channel_rapid: Mobile login + web wire transfer within 5 minutes. Severity: high. Common in mobile banking fraud.
SIG-0178,dormant_reactivation,Account dormant >90 days suddenly initiates wire transfer,medium,WHEN dormant_reactivation THEN flag(severity='medium'),0.149,2025-08-31,2026-02-11 00:42:00,77,dormant_reactivation: Account dormant >90 days suddenly initiates wire transfer. Severity: medium. Common in wire transfers fraud.
SIG-0179,credential_stuffing,Same IP attempts login on 10+ accounts within 1 hour,critical,WHEN credential_stuffing THEN flag(severity='critical'),0.052,2025-06-24,2026-02-15 17:42:00,308,credential_stuffing: Same IP attempts login on 10+ accounts within 1 hour. Severity: critical. Common in P2P payments fraud.
SIG-0180,card_testing,Multiple small transactions (<$1) in rapid succession,medium,WHEN card_testing THEN flag(severity='medium'),0.133,2025-05-02,2026-02-14 03:42:00,254,card_testing: Multiple small transactions (<$1) in rapid succession. Severity: medium. Common in P2P payments fraud.
SIG-0181,rapid_geo_hop,User location changes >500 miles within 10 minutes,high,WHEN rapid_geo_hop THEN flag(severity='high'),0.019,2026-01-27,2026-02-07 10:42:00,216,rapid_geo_hop: User location changes >500 miles within 10 minutes. Severity: high. Common in wire transfers fraud.
SIG-0182,velocity_spike,Transaction frequency exceeds 5x normal rate in 1 hour,high,WHEN velocity_spike THEN flag(severity='high'),0.079,2025-04-14,2026-02-04 09:42:00,492,velocity_spike: Transaction frequency exceeds 5x normal rate in 1 hour. Severity: high. Common in mobile banking fraud.
SIG-0183,mfa_then_wire,MFA settings changed followed by wire transfer within 24h,critical,WHEN mfa_then_wire THEN flag(severity='critical'),0.068,2025-03-06,2026-02-26 06:42:00,292,mfa_then_wire: MFA settings changed followed by wire transfer within 24h. Severity: critical. Common in mobile banking fraud.
SIG-0184,new_device_large_tx,Large transaction from never-seen-before device,medium,WHEN new_device_large_tx THEN flag(severity='medium'),0.135,2026-02-17,2026-02-14 08:42:00,183,new_device_large_tx: Large transaction from never-seen-before device. Severity: medium. Common in wire transfers fraud.
SIG-0185,midnight_atm,ATM withdrawal between 1-4 AM in foreign country,high,WHEN midnight_atm THEN flag(severity='high'),0.063,2025-05-20,2026-02-26 22:42:00,387,midnight_atm: ATM withdrawal between 1-4 AM in foreign country. Severity: high. Common in wire transfers fraud.
SIG-0186,round_amount_wire,Wire transfer of exact round amount >$10k to new recipient,high,WHEN round_amount_wire THEN flag(severity='high'),0.082,2025-11-11,2026-02-11 08:42:00,108,round_amount_wire: Wire transfer of exact round amount >$10k to new recipient. Severity: high. Common in P2P payments fraud.
SIG-0187,bot_typing,Typing cadence <50ms average suggesting automated input,critical,WHEN bot_typing THEN flag(severity='critical'),0.049,2025-10-09,2026-02-25 16:42:00,142,bot_typing: Typing cadence <50ms average suggesting automated input. Severity: critical. Common in mobile banking fraud.
SIG-0188,multiple_failed_mfa,3+ failed MFA attempts followed by successful login,high,WHEN multiple_failed_mfa THEN flag(severity='high'),0.07,2025-09-23,2026-02-15 23:42:00,291,multiple_failed_mfa: 3+ failed MFA attempts followed by successful login. Severity: high. Common in P2P payments fraud.
SIG-0189,ip_tor_exit,Login from known Tor exit node IP range,critical,WHEN ip_tor_exit THEN flag(severity='critical'),0.043,2026-01-07,2026-03-03 11:42:00,287,ip_tor_exit: Login from known Tor exit node IP range. Severity: critical. Common in mobile banking fraud.
SIG-0190,account_drain,Multiple transactions draining >80% of account balance in 1h,critical,WHEN account_drain THEN flag(severity='critical'),0.112,2025-09-28,2026-02-03 11:42:00,342,account_drain: Multiple transactions draining >80% of account balance in 1h. Severity: critical. Common in mobile banking fraud.
SIG-0191,sim_swap_pattern,MFA method changed to SMS after phone number update,high,WHEN sim_swap_pattern THEN flag(severity='high'),0.129,2025-07-20,2026-03-03 13:42:00,299,sim_swap_pattern: MFA method changed to SMS after phone number update. Severity: high. Common in P2P payments fraud.
SIG-0192,cross_channel_rapid,Mobile login + web wire transfer within 5 minutes,high,WHEN cross_channel_rapid THEN flag(severity='high'),0.126,2026-02-04,2026-02-11 21:42:00,87,cross_channel_rapid: Mobile login + web wire transfer within 5 minutes. Severity: high. Common in mobile banking fraud.
SIG-0193,dormant_reactivation,Account dormant >90 days suddenly initiates wire transfer,medium,WHEN dormant_reactivation THEN flag(severity='medium'),0.081,2025-04-25,2026-02-25 08:42:00,374,dormant_reactivation: Account dormant >90 days suddenly initiates wire transfer. Severity: medium. Common in P2P payments fraud.
SIG-0194,credential_stuffing,Same IP attempts login on 10+ accounts within 1 hour,critical,WHEN credential_stuffing THEN flag(severity='critical'),0.112,2025-07-29,2026-02-13 15:42:00,109,credential_stuffing: Same IP attempts login on 10+ accounts within 1 hour. Severity: critical. Common in P2P payments fraud.
SIG-0195,card_testing,Multiple small transactions (<$1) in rapid succession,medium,WHEN card_testing THEN flag(severity='medium'),0.058,2025-03-25,2026-03-01 19:42:00,360,card_testing: Multiple small transactions (<$1) in rapid succession. Severity: medium. Common in wire transfers fraud.
SIG-0196,rapid_geo_hop,User location changes >500 miles within 10 minutes,high,WHEN rapid_geo_hop THEN flag(severity='high'),0.115,2026-02-21,2026-02-21 20:42:00,274,rapid_geo_hop: User location changes >500 miles within 10 minutes. Severity: high. Common in mobile banking fraud.
SIG-0197,velocity_spike,Transaction frequency exceeds 5x normal rate in 1 hour,high,WHEN velocity_spike THEN flag(severity='high'),0.123,2025-03-15,2026-02-05 16:42:00,139,velocity_spike: Transaction frequency exceeds 5x normal rate in 1 hour. Severity: high. Common in online banking fraud.
SIG-0198,mfa_then_wire,MFA settings changed followed by wire transfer within 24h,critical,WHEN mfa_then_wire THEN flag(severity='critical'),0.146,2025-10-07,2026-02-04 09:42:00,326,mfa_then_wire: MFA settings changed followed by wire transfer within 24h. Severity: critical. Common in online banking fraud.
SIG-0199,new_device_large_tx,Large transaction from never-seen-before device,medium,WHEN new_device_large_tx THEN flag(severity='medium'),0.096,2026-03-03,2026-02-10 16:42:00,112,new_device_large_tx: Large transaction from never-seen-before device. Severity: medium. Common in online banking fraud.
SIG-0200,midnight_atm,ATM withdrawal between 1-4 AM in foreign country,high,WHEN midnight_atm THEN flag(severity='high'),0.02,2025-06-18,2026-02-13 00:42:00,274,midnight_atm: ATM withdrawal between 1-4 AM in foreign country. Severity: high. Common in online banking fraud.
